order_id,customer_id,order_date,product_category,product_name,price,quantity,country
1,427,2024-01-08,Sports,Monitor,27.94,1,Spain
2,152,2024-02-13,Electronics,Webcam,62.16,6,USA
3,211,2024-01-15,Clothing,Webcam,64.99,4,France
4,212,2024-01-29,Electronics,Blanket,226.22,3,Spain
5,316,2024-01-22,Electronics,Chair,43.68,1,USA
6,147,2024-01-25,Electronics,Monitor,142.5,10,UK
7,122,2024-02-16,Clothing,Football,257.35,5,USA
8,382,2024-01-19,Clothing,Chair,97.38,4,Spain
9,216,2024-02-19,Electronics,Blanket,194.92,7,France
10,242,2024-01-30,Sports,Chair,89.76,10,Spain
11,236,2024-02-14,Home,Webcam,81.56,2,Spain
12,225,2024-01-11,Electronics,Water Bottle,50.79,1,Canada
13,450,2024-01-21,Clothing,Keyboard,103.34,4,France
14,237,2024-01-05,Home,Hat,49.88,3,France
15,429,2024-01-30,Clothing,Hat,29.06,10,Germany
16,234,2024-02-17,Sports,Water Bottle,111.08,5,Germany
17,352,2024-01-06,Electronics,Mouse,48.34,5,Italy
18,448,2024-01-28,Sports,USB Cable,59.76,8,Germany
19,228,2024-02-05,Clothing,Mouse,70.6,6,Italy
20,236,2024-02-19,Home,Blanket,62.51,9,France
21,101,2024-02-16,Sports,Chair,122.46,1,Italy
22,420,2024-01-20,Clothing,Jacket,111.8,9,Germany
23,498,2024-02-29,Electronics,Webcam,88.76,1,USA
24,285,2024-02-26,Clothing,Chair,9.88,8,USA
25,143,2024-02-16,Sports,Football,121.19,5,Italy
26,164,2024-01-09,Home,Basketball,37.39,9,France
27,208,2024-02-29,Electronics,Hat,48.6,1,France
28,364,2024-01-29,Clothing,Keyboard,39.72,6,USA
29,401,2024-02-05,Electronics,Jacket,6.45,6,Canada
30,134,2024-02-27,Home,Monitor,10.1,8,UK
31,442,2024-02-01,Electronics,Jacket,217.02,1,Germany
32,342,2024-01-16,Clothing,Water Bottle,32.45,5,Spain
33,320,2024-01-23,Electronics,Water Bottle,104.8,3,Spain
34,434,2024-02-11,Sports,Mouse,124.06,2,Italy
35,155,2024-01-16,Clothing,Jacket,115.69,5,France
36,193,2024-01-18,Sports,Basketball,131.3,8,France
37,381,2024-01-07,Sports,Webcam,191.57,5,Italy
38,221,2024-01-11,Clothing,Water Bottle,118.66,2,USA
39,184,2024-01-25,Clothing,USB Cable,56.55,10,UK
40,316,2024-02-14,Home,Basketball,47.08,7,USA
41,396,2024-02-17,Clothing,Monitor,9.75,10,France
42,357,2024-02-28,Home,T-Shirt,181.18,10,Italy
43,195,2024-01-05,Clothing,Keyboard,113.7,1,Canada
44,396,2024-02-08,Clothing,Webcam,12.57,2,Germany
45,367,2024-01-21,Home,Chair,119.82,7,Canada
46,235,2024-01-26,Sports,Hat,78.11,8,USA
47,334,2024-02-09,Home,Mouse,100.87,10,UK
48,167,2024-02-29,Home,Blanket,220.84,8,UK
49,180,2024-01-29,Clothing,Blanket,92.95,7,UK
50,439,2024-01-07,Clothing,Hat,17.9,4,Spain
51,383,2024-01-10,Clothing,Candle,111.36,8,Canada
52,451,2024-02-10,Sports,Pillow,62.57,3,USA
53,424,2024-01-28,Clothing,Blanket,7.39,6,Spain
54,234,2024-01-11,Home,Water Bottle,130.65,2,USA
55,453,2024-02-27,Electronics,T-Shirt,121.17,9,Germany
56,175,2024-01-28,Sports,T-Shirt,34.59,10,UK
